industry_name,specialized_occupation,median_salary
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Enterprise Architect,190000.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Marketing Analyst,179250.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Oracle Consultant / Analyst,143000.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",General ERP Analyst / Consultant,133223.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Business Intelligence Analyst,123250.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Data Analyst,110833.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Data Quality Analyst,104000.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",SAP Analyst / Admin,86522.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Business Analyst (General),86000.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Financial Data Analyst,29295.0
